Id;Designator;Package;Quantity;Designation;MPN
1;Q201;TO-220_FET-GDS_Vertical_LargePads;1;BUK9575;BUK9575-100A,127
2;C201,C202,C203,C402,C501;C_0805;5;1u;CL21B105KPFNNNE
3;C204,C303,C401,C504,C601;C_0805;5;0.1u;C0805C104K4RACTU
4;C301,C302;C_0603;2;18p;C0603C180J5GACTU
5;C304,C503,C502;C_0805;3;0.01u;C0805C102K4RACTU
6;P201;Terminal_Block_1x2_5.08mm;1;CONN_01X02;OSTTC022162
7;R201,R203,R301,R401,R501,R502,R503,R504,R505,R506,R205;R_0805;11;10k;RNCP0805FTD10K0
8;R202;R_0805;1;100R;RNCP0805FTD100R
9;R402,R403,R404;R_0805;3;3.3k;RNCP0805FTD3K32
10;SW301;B3F-10XX;1;Reset SW;B3F-1000
11;U201;SOIC-8-N;1;TS922;TS922IDT
12;X301;Crystal_HC49-U_Vertical;1;CRYSTAL 16MHZ;9B-16.000MAAJ-B
13;P302,P301;Pin_Header_Straight_2x03;2;CONN_02X03;67996-406HLF
14;HS201;FA-TO220-64E;1;HEATSINK;530002B02500G
15;U401;SOIC-14_N;1;TLC2274;TLC2274ACDR
16;D201;Diode-SMB_Standard;1;DIODESCH;SK44BL-TP
17;R204;8035_J-Lead;1;1R;S5-1RF1
18;CON601;BARREL_JACK;1;BARREL_JACK;PJ-102AH
19;ROT501;PEC11R;1;Rotary_Encoder;PEC11R-4225F-S0024
20;C602;Capacitor6.4x6RM2.5;1;100u;USR1C101MDD
21;U501;SOIC-14_N;1;74HC14;SN74HC14DR
22;U601;DPAK-2;1;LM2931ADT-5.0;LM2931ADT-5.0G
23;IC301;TQFP-32_7x7mm_Pitch0.8mm;1;ATMEGA328P-A;ATMEGA328P-AUR
24;P304;Pin_Header_Straight_2x02;1;CONN_02X02;
25;M3 screw hole,M3 screw hole,M3 screw hole,M3 screw hole;M3_screw_hole;4;VAL**;
26;P305,P303;Pin_Header_Straight_1x07;2;CONN_01X07;
27;J601;Net_Tie2;1;Net_Tie;
28;TH201;SolderWirePad_2x_0-8mmDrill;1;THERMISTOR;NTCALUG02A103G
29;P601,P202;Pin_Header_Straight_1x02;2;CONN_01X02;
30;F601;PTC_1206;1;FUSE;0ZCA0020FF2E
